Visit_Number,Primary_Description
236690290,FANCY WHOLE PEELED
236690290,GARLIC BASIL
236690290,GENOA SALAMI
236690290,GRATED PARM. CHEESE
236690290,ITALIAN BREAD CRUMBS
236690290,LADIES D/S PANT
236690290,LADIES L/S SWEATER
236690290,LARGE EGGS 3 DOZEN
236690290,MOZZARELLA LOAF
236690290,PEACH LATTICE
236690290,POPCORN CHICKEN NP
236690290,SMALL RAWHIDE CHEWS
236690290,V-8 SPLASH VARIETY
236690291,HONEY BUNCHES
236690291,NEW ZEALAND
236690291,SMOKED SALMON
236690292,SOFT DRINK 20 OZ.
236690294,2000 WK AUDUBON WALL
236690294,ANTIBAC ULTRA DISH
236690294,CARPENTER'S LADY
236690294,CASCADE GEL
236690294,CHICKEN POT PIE
236690294,CINNAMON ROLLS
236690294,COKE
236690294,CORNED BEEF
236690294,DEPOSIT
236690294,DIET PEPSI
236690294,FANTASTIK
236690294,HAWAII COFFEE 2# BAG
236690294,JEWELS OF THE SUN
236690294,JIF CREAMY
236690294,LEVER 2000
236690294,PLEDGE LEMON
236690294,PUPPY CHOW
236690294,SLICED BACON
236690294,SMALL RAWHIDE CHEWS
236690294,STUFFED SHELLS 3.5LB
236690294,TERRY TOWELS
236690295,CABELLA'S BIG GAME
236690295,CASCADE POWDER
236690295,ERA ULTRA LIQUID
236690295,EXTRA VIRGINOLIVEOIL
236690295,SCOTTISSUE BATH
236690295,SMOKED POLISH
236690295,SQUEEZE KETCHUP
236690297,DOVE BATH SOAP
236690297,EARLY PEAS
236690297,HAM STEAK
236690297,HEMORRHOIDAL
236690297,PENNE RIGATE
236690297,PISTACHIO IN SHELL
236690297,SECRET PLATINUM
236690297,SHORTBREAD DELITES
236690297,TERIYAKI PORKLOIN
236690298,LIMP BIZKIT
236690298,RAGE AGAINST MACHINE
236690298,T160 VIDEO TAPE
236690299,1/2 SHT WHIPPED CAKE
236690299,GOLDEN DINNER ROLLS
236690300,CENTRUM SILVER
236690300,CHOCOLATE COVERED
236690300,DAILY GARLIC
236690300,SHORTBREAD COOKIES
236690301,CHEEZ N CRACKERS
236690302,9 OZ SWEATPANT
236690302,ALL NATURAL
236690302,AMERICAN SINGLES
236690302,APPLE STRUDEL
236690302,APPLESAUCE
236690302,BOUNCE SINGLES 160CT
236690302,BOUNTY PAPER TOWELS
236690302,CHICKEN BREAST WITH
236690302,CHICKEN VOILA
236690302,ERA ULTRA LIQUID
236690302,FRUIT PUNCH
236690302,GARDEN STYLE SAUCE
236690302,GRANOLA BARS
236690302,HELLMAN'S MAYONAISE
236690302,KLEENEX 8PK 175 SHTS
236690302,MAX STIX STUFFED
236690302,STUFFED SHELLS 3.5LB
236690302,TRIPLE PACK CEREAL
236690302,VARIETY PACK
236690303,20OZ FROZEN BEVERAGE
236690304,ADVANTAGE SECONDARY
236690305,CHARMIN 24 DOUBLE RL
236690305,KLEENEX 8PK 95 SHTS
236690306,SOFT DRINK 20 OZ.
236690307,CHARMIN 24 DOUBLE RL
236690307,FREEDENT SPEARMINT
236690307,MAX/HSE DECAF COFFEE
236690307,MINI MOO'S CREAMERS
236690307,OIL DRI 40LB BAG
236690307,PILE LINED GLOVE
236690307,TOOTSIE POPS
236690308,PRETZELS KING SIZE
236690309,SAVING PRVT.RYAN
236690309,STAR TREK
236690310,SOFT DRINK 20 OZ.
236690311,APPLESAUCE
236690311,CHEESE RITZ BITS
236690311,DUNKAROOS
236690313,"ENERGIZER AAA, 16PK"
236690313,HONEY PEANUT
236690315,DIGITAL ANSWERING
236690315,ICE SCRAPER COMBO
236690316,4PR DOUBLE CUSHION
236690316,TIS-FRANK MCCOURT
236690316,WHOLE FRYING
236690317,100% JUICE W/VITM
236690317,BOUNTY PAPER TOWELS
236690317,CREST PREMIUM PACK
236690317,DEPOSIT
236690317,LARGE PUMPKIN
236690317,PISTACHIO IN SHELL
236690317,POKEMON ROLL
236690317,SCOTTISSUE BATH
236690317,SPRITE
236690317,SYSTEM SAVER SALT
236690317,XL NAVY L/S T-SHIRT
236690318,ALL NATURAL
236690318,BUTTER QUARTERS
236690318,DOVE BATH SOAP
236690318,MRS BUTTERWORTH ORIG
236690318,TIDE MTN SPRING
236690319,PREMIUM CHOICE TF
236690320,BATTERED HALIBUT
236690320,BROCCOLI NORMANDY
236690320,BUFFALO HOT WINGS
236690320,BUTTER MICROWAVE
236690320,CALCIUM ORANGE JUICE
236690320,COFFEE OF THE WORLD
236690320,CRANBERRY RASPBERRY
236690320,GO-GURT YOGURT
236690320,GRAND BISCUITS
236690320,GRAPE JUICE
236690320,HONEYMAID GRAHAM
236690320,ULTRA LIQ.W/BLEACH
236690320,YELLOW RICE
236690320,ZIPLOC SANDWICH
236690320,ZIPLOC STORAGE GAL
236690321,ITALIAN TOAST 24 OZ
236690321,TURBOTAX DELUXE 99
236690323,32OZ SOFT DRINK
236690324,PA GRAND SUITE
236690325,ASSORTED MUFFINS
236690325,CREAM OF MUSHROOM
236690325,CUT GREEN BEANS
236690325,HEINZ VINEGAR
236690325,OLD WORLD SAUCE
236690325,PENNE RIGATE
236690325,POTATO BREAD
236690325,SALT
236690325,SOLID SWEATERS
236690325,STEWED TOMATOES
236690325,THIN SPAGHETTI
236690326,ADVIL
236690326,ANTIBAC ULTRA DISH
236690326,CASCADE GEL
236690326,CHOCOLATE SYRUP
236690326,CHUNK LIGHT TUNA
236690326,CONVERTED RICE
236690326,FANTASTIK
236690326,GLAD TRASH BAG 13GAL
236690326,INSTANT BREAKFAST
236690326,SQUEEZE KETCHUP
236690326,ZIPLOC STORAGE GAL
236690327,BEGGIN' STRIPS 36 OZ
236690327,BOUNCE SINGLES 160CT
236690327,GIANT SLIM
236690327,GILLETTE SERIES
236690327,KLEENEX 8PK 95 SHTS
